question_number,category,clue,gold_answer,predicted_title,top_score,correct_at_1,reciprocal_rank_top_10,top_10_titles
75,HE PLAYED A GUY NAMED JACK RYAN IN...,"""The Hunt for Red October""; he went more comedic as Jack Donaghy on ""30 Rock""",Alec Baldwin,30 Rock (season 6),89.5258,False,0.0,30 Rock (season 6) | Plunkett Donaghy | Red (play) | Fox hunting | Guy Shepherdson | Hunting | Cavalcade (play) | Nolan Ryan | Red Hot Chili Peppers | Eddy Donaghy
76,AFRICAN-AMERICAN WOMEN,"Rita Dove titled a collection of poems ""On the Bus with"" this woman",Rosa Parks,African-American studies,57.2278,False,0.0,African-American studies | African-American culture | African-American history | List of African-American firsts | Mojo (African-American culture) | Selected Poems of Henry Ames Blood | Equation (poem) | North American Bus Industries | New England Woman Suffrage Association | Limbo (Brathwaite poem)
77,HE PLAYED A GUY NAMED JACK RYAN IN...,"""Patriot Games""; he's had other iconic roles, in space & underground",Harrison Ford,Ringworld (role-playing game),101.6647,False,0.0,Ringworld (role-playing game) | Role-playing game | Trinity (role-playing game) | Call of Cthulhu (role-playing game) | Role-playing video game | Live action role-playing game | Castle Falkenstein (role-playing game) | Sengoku (role-playing game) | Engel (role-playing game) | Massively multiplayer online role-playing game
78,"COMPLETE DOM-INATION(Alex: Not ""domination."")",This sacred structure dates from the late 600's A.D.,Dome of the Rock,600,48.053,False,0.0,600 | Speed dating | Radiometric dating | Sacred Harp | Dom & Roland | Radiocarbon dating | List of tallest buildings and structures in the world | Celtic sacred trees | Rubidium-strontium dating | Late Quaternary prehistoric birds
79,'80s NO.1 HITMAKERS,"1988: ""Man In The Mirror""",Michael Jackson,Secondary mirror,46.4962,False,0.0,Secondary mirror | Mirror | 80 | 1988 in film | Communications in the Isle of Man | Politics of the Isle of Man | Geography of the Isle of Man | 1988 | Transport in the Isle of Man | Calf of Man
80,CAPITAL CITY CHURCHES (Alex: We'll give you the church. You tell us the capital city in which it is located.),"Matthias Church, or Matyas Templom, where Franz Joseph was crowned in 1867",Budapest,St. Joseph of the Holy Family Church (New York City),65.4209,False,0.0,"St. Joseph of the Holy Family Church (New York City) | Saint Matthias | Votive Church, Vienna | National Capital Commission | Quezon City | St. Joseph's Chapel (New York City) | Crown jewels | Capital of the Netherlands | List of capitals in Pakistan | Church of San Bernardo, Mexico City"
81,UCLA CELEBRITY ALUMNI,"Attending UCLA in the '60s, he was no ""Meathead"", he just played one later on television",Rob Reiner,Celebrity,57.844,False,0.0,Celebrity | 60 Minutes | Is He Dead? | Flight attendant | Lateral pass | Lateral consonant | Just intonation | TOTP@Play | Mighty Bruins | Cavalcade (play)
82,THE RESIDENTS,"Kinch, Carter & LeBeau were all residents of Stalag 13 on this TV show",Hogan's Heroes,Hogan's Heroes,56.7381,True,1.0,Hogan's Heroes | John Carter (ER) | XHNSA-TV | XHTUB-TV | Club Life (TV series) | Stalag VIII-F | Billy Carter | Carter the Unstoppable Sex Machine | Talk show | Carter Center
83,1920s NEWS FLASH!,News flash! This less-than-yappy pappy is sixth veep to be nation's top dog after chief takes deep sleep!,Calvin Coolidge,See the Light (Less Than Jake album),69.4421,False,0.0,See the Light (Less Than Jake album) | New Zealand at the 1920 Summer Olympics | Sleep deprivation | Belgium at the 1920 Summer Olympics | Sleep (non-human) | Guide dog | National Dog Show | Power nap | Top Dog Theatre | Sled dog
84,GOLDEN GLOBE WINNERS,In 2001: The president of the United States on television,Martin Sheen,Golden Globe Award for Best Television Series – Drama,78.7311,False,0.0,Golden Globe Award for Best Television Series – Drama | Golden Globe Award for Best Television Series – Musical or Comedy | Powers of the President of the United States | Executive Office of the President of the United States | Vice President of the United States | Television in the United States | Presidency of George W. Bush | List of Presidents of the United States by other offices held | President pro tempore of the United States Senate | Golden Gloves
85,'80s NO.1 HITMAKERS,"1989: ""Miss You Much""",Janet Jackson,80,39.4202,False,0.0,80 | I Love the '80s Strikes Back | 1989 | Royal Rumble (1989) | Miss No Good | No Orchids for Miss Blandish (film) | 1989 in American television | 1989 in film | 1989 in aviation | 80s
86,1920s NEWS FLASH!,"1922: It's the end of an empire! This empire, in fact! After 600 years, it's goodbye, this, hello, Turkish Republic!",Ottoman Empire,Far Eastern Republic,68.5466,False,0.0,Far Eastern Republic | Turkish Military Academy | 1920s | Hello (The Cat Empire song) | New Year | 600 | Hello Pro Kenshūsei | Galactic Empire (Star Wars) | Treaty of Rapallo (1922) | Republic of Central Lithuania
87,NAME THE PARENT COMPANY,Crest toothpaste,Procter & Gamble,Crest (toothpaste),83.1719,False,0.0,Crest (toothpaste) | Toothpaste | Crest Capital | Crest of the Stars | List of company name etymologies | List of companies named after people | Holding company | Given name | H. J. Heinz Company | Borden (company)
88,HISTORICAL QUOTES,"In 1888 this Chancellor told the Reichstag, ""we Germans fear God, but nothing else in the world""",Otto von Bismarck|Von Bismarck,Reichstag Fire Decree,65.1717,False,0.0,"Reichstag Fire Decree | Reichstag Peace Resolution | Reichstag | Theobald von Bethmann-Hollweg | German philosophy | German idealism | Imperial German Navy | Wilhelm II, German Emperor | Horned God | God in Islam"
89,POETS & POETRY,"In 1787 he signed his first published poem ""Axiologus""; axio- is from the Greek for ""worth""",William Wordsworth,1919 in poetry,78.3805,False,0.0,1919 in poetry | Metaphysical poets | Equation (poem) | Hero and Leander (poem) | In a Station of the Metro | Hyperion (poem) | Irish poetry | Epic poetry | Objectivist poets | Modernist poetry in English
90,CAMBODIAN HISTORY & CULTURE,"Not to be confused with karma, krama is a popular accessory sold in cambodia; the word means ""scarf"" in this national language of Cambodia",Khmer language,History of Cambodia,90.9546,False,0.2,History of Cambodia | Politics of Cambodia | Cambodia National and Provincial Resources Data Bank | Demographics of Cambodia | Khmer language | Economy of Cambodia | Reamker | Proteus in popular culture | Karma | Nokor Reach
91,CAMBODIAN HISTORY & CULTURE,"Phnom Penh's notorious gridlock is circumvented by the nimble tuk-tuk, a motorized taxi that's also known as an auto this, a similar Asian conveyance.",Rickshaw,Olympic Stadium (Phnom Penh),111.8857,False,0.0,Olympic Stadium (Phnom Penh) | Norodom Buppha Devi | Camko City | Advanced Bank of Asia | History of Cambodia | Asian Boyz | Notorious MSG | Asian American | Hybrid taxi | Culture of the Philippines
92,'80s NO.1 HITMAKERS,"1980: ""Rock With You""",Michael Jackson,1980s,39.0704,False,0.0,1980s | 80 | Christian alternative rock | Toronto Rocks | Christian rock | 1979–80 A PFG | College rock | 1979–80 Vancouver Canucks season | Sedimentary rock | No wave
93,NOTES FROM THE CAMPAIGN TRAIL,"The Pulitzer-winning ""The Making of the President 1960"" covered this man's successful presidential campaign",JFK|John F. Kennedy,United States presidential line of succession,78.0285,False,0.0,"United States presidential line of succession | Ralph Nader presidential campaign, 2000 | Democratic Party vice presidential candidate selection, 2004 | Pulitzer Prize for Poetry | Pulitzer Prize for Drama | Pulitzer Prize for History | United States presidential election in Massachusetts, 1972 | Pulitzer Prize for Biography or Autobiography | President of Egypt | Political campaign"
94,SERVICE ORGANIZATIONS,"In 1843 Isaac Dittenhoefer became the first pres. of this Jewish club whose name means ""children of the covenant""",B'nai B'rith,Service club,72.1241,False,0.5,Service club | B'nai B'rith | Jewish Defense Organization | Lions Clubs International | Jewish prayer | Club | World Zionist Organization | Breira (organization) | Coven | Isaac Luria
95,THE RESIDENTS,Don Knotts took over from Norman Fell as the resident landlord on this sitcom,Three's Company,Don Knotts,73.6721,False,0.0,Don Knotts | Walter Knott | Eastern Fells | British sitcom | Knott's Berry Farm | Crinkle Crags | Don Valley Parkway | Canned Laughter (sitcom) | Norman yoke | Norman conquest of England
96,OLD YEAR'S RESOLUTIONS,"U.N. Res. 242 supports ""secure and recognized boundaries"" for Israel & neighbors following this June 1967 war",The Six Day War,United Nations Security Council Resolution 1441,77.4544,False,0.0,United Nations Security Council Resolution 1441 | United Nations Security Council Resolution 1963 | United Nations Security Council Resolution 794 | United Nations Security Council Resolution 1769 | Presbyterian Church (USA) disinvestment from Israel controversy | United Nations Security Council Resolution 1962 | United Nations Security Council Resolution 315 | United Nations Security Council Resolution 1961 | United Nations Security Council Resolution 351 | United Nations Security Council Resolution 940
97,UCLA CELEBRITY ALUMNI,"This blonde beauty who reprised her role as Amanda on the new ""Melrose Place"" was a psychology major",Heather Locklear,Melrose Place,86.2668,False,0.5,Melrose Place | Heather Locklear | Celebrity | Beauty and the Beast (musical) | Legally Blonde (musical) | Cultural-historical psychology | List of Places of Scenic Beauty of Japan (Shizuoka) | Developmental psychology | Critical psychology | Amanda Winn-Lee
98,GREEK FOOD & DRINK,"The name of this dish of marinated lamb, skewered & grilled, comes from the Greek for ""skewer"" & also starts with ""s""",Souvlaki,Souvlaki,116.8404,True,1.0,Souvlaki | Jingisukan | Lountza | Lahndi (food) | Soft drink | Fake food | Tzatziki | Boy Meets Grill | Squid (food) | Food cart
99,NAME THE PARENT COMPANY,Post-it notes,3M,Post City Magazines,39.7055,False,0.0,Post City Magazines | Holding company | C (musical note) | List of company name etymologies | List of companies named after people | H. J. Heinz Company | Given name | Borden (company) | Missouri Fur Company | Post Office Ltd
100,GOLDEN GLOBE WINNERS,In 2010: As Sherlock Holmes on film,"Robert Downey, Jr.",Sherlock Holmes,91.2015,False,0.0,Sherlock Holmes | List of actors who have played Sherlock Holmes | List of authors of new Sherlock Holmes stories | Sherlock Holmes Was Wrong | Golden Globe Award for Best Television Series – Drama | Golden Globe Award for Best Television Series – Musical or Comedy | The Jackal (2010 film) | Sherlock holmes canon | Celeste Holm | Leap Year (2010 film)
